,threads,keys,operations,searc,insert,time
311,12.0,1000.0,1000.0,0.6,0.1,0.010984
312,12.0,1000.0,1000.0,0.6,0.2,0.012713
313,12.0,1000.0,1000.0,0.6,0.3,0.011642
314,12.0,1000.0,1000.0,0.6,0.4,0.013104
315,12.0,1000.0,1000.0,0.7,0.0,0.009424
316,12.0,1000.0,1000.0,0.7,0.15,0.010543
317,12.0,1000.0,1000.0,0.7,0.3,0.011526
318,12.0,1000.0,1000.0,0.8,0.0,0.008326
319,12.0,1000.0,1000.0,0.8,0.1,0.009306
320,12.0,1000.0,1000.0,0.8,0.2,0.010378
321,12.0,1000.0,1000.0,0.9,0.0,0.006269
322,12.0,1000.0,1000.0,0.9,0.1,0.007668
323,12.0,1000.0,1000.0,1.0,0.0,0.001205
324,16.0,1000.0,1000.0,0.1,0.0,0.00733
325,16.0,1000.0,1000.0,0.1,0.1,0.008641
326,16.0,1000.0,1000.0,0.1,0.2,0.009727
327,16.0,1000.0,1000.0,0.1,0.3,0.009501
328,16.0,1000.0,1000.0,0.1,0.4,0.010511
329,16.0,1000.0,1000.0,0.1,0.5,0.010855
330,16.0,1000.0,1000.0,0.1,0.6,0.011263
331,16.0,1000.0,1000.0,0.1,0.7,0.011944
332,16.0,1000.0,1000.0,0.1,0.8,0.012766
333,16.0,1000.0,1000.0,0.1,0.9,0.012933
334,16.0,1000.0,1000.0,0.2,0.0,0.007832
335,16.0,1000.0,1000.0,0.2,0.1,0.010071
336,16.0,1000.0,1000.0,0.2,0.2,0.010592
337,16.0,1000.0,1000.0,0.2,0.3,0.010872
338,16.0,1000.0,1000.0,0.2,0.4,0.011341
339,16.0,1000.0,1000.0,0.2,0.5,0.01163
